Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-08-11 15:10:03,"PULL DAY",55m,"T Bar Row",1,10.0,10.0,0,0.0,"","didn't do deadlift because of risk. sub with something else",
2021-08-11 15:10:03,"PULL DAY",55m,"T Bar Row",2,10.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"T Bar Row",3,10.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"T Bar Row",4,10.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"T Bar Row",5,6.25,15.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Lat Pulldown (Cable)",1,30.0,10.0,0,0.0,"",,
2021-08-11 15:10:03,"PULL DAY",55m,"Lat Pulldown (Cable)",2,30.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Lat Pulldown (Cable)",3,30.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Lat Pulldown (Cable)",4,30.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Lat Pulldown (Cable)",5,25.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Seated Row (Cable)",1,32.0,10.0,0,0.0,"",,
2021-08-11 15:10:03,"PULL DAY",55m,"Seated Row (Cable)",2,32.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Seated Row (Cable)",3,32.0,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Seated Row (Cable)",4,23.0,8.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Preacher Curl (Barbell)",1,9.5,8.0,0,0.0,"",,
2021-08-11 15:10:03,"PULL DAY",55m,"Preacher Curl (Barbell)",2,9.5,10.0,0,0.0,,,
2021-08-11 15:10:03,"PULL DAY",55m,"Preacher Curl (Barbell)",3,9.5,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Bench Press (Barbell)",1,42.5,5.0,0,0.0,"","",
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Bench Press (Barbell)",2,42.5,5.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Bench Press (Barbell)",3,42.5,5.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Bench Press (Barbell)",4,42.5,5.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Bench Press (Barbell)",5,42.5,5.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Incline Chest Press (Machine)",1,11.25,10.0,0,0.0,"",,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Incline Chest Press (Machine)",2,11.25,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Incline Chest Press (Machine)",3,11.25,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Pec Deck (Machine)",D,36.0,8.0,0,0.0,"",,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Pec Deck (Machine)",D,31.0,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Pec Deck (Machine)",D,27.0,12.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Seated Overhead Press (Dumbbell)",1,8.0,10.0,0,0.0,"",,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Seated Overhead Press (Dumbbell)",2,8.0,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Seated Overhead Press (Dumbbell)",3,8.0,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Lateral Raise (Cable)",1,7.0,10.0,0,0.0,"",,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Lateral Raise (Cable)",2,7.0,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Lateral Raise (Cable)",3,7.0,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Lateral Raise (Cable)",4,7.0,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Reverse Fly (Machine)",1,23.0,5.0,0,0.0,"",,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Reverse Fly (Machine)",2,23.0,5.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Reverse Fly (Machine)",3,23.0,5.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Triceps Pushdown (Cable - Straight Bar)",1,21.0,10.0,0,0.0,"",,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Triceps Pushdown (Cable - Straight Bar)",2,21.0,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Triceps Pushdown (Cable - Straight Bar)",3,25.0,10.0,0,0.0,,,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Triceps Extension (Dumbbell)",1,10.0,8.0,0,0.0,"",,
2021-08-13 14:00:16,"PUSH DAY",1h 25m,"Triceps Extension (Dumbbell)",2,10.0,8.0,0,0.0,,,
